Time	Epoch_Time	Longitude	Latitude	Altitude	X_J2000	Y_J2000	Z_J2000	X_MSO	Y_MSO	Z_MSO	Instrument_Observation_Direction_X	Instrument_Observation_Direction_Y	Instrument_Observation_Direction_Z	Solar_Incident_Angle	Solar_Azimuth_Angle	Energy_CSI_1	Energy_CSI_2	Energy_CSI_3	Energy_CSI_4	Energy_CSI_5	Energy_CSI_6	Energy_CSI_7	Energy_CSI_8	Energy_CSI_9	Energy_CSI_10	Energy_CSI_11	Energy_CSI_12	Energy_CSI_13	Energy_CSI_14	Energy_CSI_15	Energy_CSI_16	Energy_CSI_17	Energy_CSI_18	Energy_CSI_19	Energy_CSI_20	Energy_CSI_21	Energy_CSI_22	Energy_SD1_1	Energy_SD1_2	Energy_SD1_3	Energy_SD1_4	Energy_SD1_5	Energy_SD1_6	Energy_SD1_7	Energy_SD1_8	Energy_SD1_9	Energy_SD1_10	Energy_SD1_11	Energy_SD1_12	Energy_SD1_13	Energy_SD1_14	Energy_SD1_15	Energy_SD1_16	Energy_SD1_17	Energy_SD1_18	Energy_SD1_19	Energy_SD1_20	Energy_SD1_21	Energy_SD1_22	Energy_SD2_1	Energy_SD2_2	Energy_SD2_3	Energy_SD2_4	Energy_SD2_5	Energy_SD2_6	Energy_SD2_7	Energy_SD2_8	Energy_SD2_9	Energy_SD2_10	Energy_SD2_11	Energy_SD2_12	Energy_SD2_13	Energy_SD2_14	Energy_SD2_15	Energy_SD2_16	Energy_SD2_17	Energy_SD2_18	Energy_SD2_19	Energy_SD2_20	Energy_SD2_21	Energy_SD2_22	Energy_Total_1	Energy_Total_2	Energy_Total_3	Energy_Total_4	Energy_Total_5	Energy_Total_6	Energy_Total_7	Energy_Total_8	Energy_Total_9	Energy_Total_10	Energy_Total_11	Energy_Total_12	Energy_Total_13	Energy_Total_14	Energy_Total_15	Energy_Total_16	Energy_Total_17	Energy_Total_18	Energy_Total_19	Energy_Total_20	Energy_Total_21	Energy_Total_22	He_Index_1	He_Index_2	He_Index_3	He_Index_4	He_Index_5	He_Index_6	He_Index_7	He_Index_8	He_Index_9	He_Index_10	He_Index_11	He_Index_12	He_Index_13	He_Index_14	He_Index_15	He_Index_16	He_Index_17	He_Index_18	He_Index_19	He_Index_20	He_Index_21	He_Index_22	Electron_Index_1	Electron_Index_2	Electron_Index_3	Electron_Index_4	Electron_Index_5	Electron_Index_6	Electron_Index_7	Electron_Index_8	Electron_Index_9	Electron_Index_10	Electron_Index_11	Electron_Index_12	Electron_Index_13	Electron_Index_14	Electron_Index_15	Electron_Index_16	Electron_Index_17	Electron_Index_18	Electron_Index_19	Electron_Index_20	Electron_Index_21	Electron_Index_22	Proton_Index_1	Proton_Index_2	Proton_Index_3	Proton_Index_4	Proton_Index_5	Proton_Index_6	Proton_Index_7	Proton_Index_8	Proton_Index_9	Proton_Index_10	Proton_Index_11	Proton_Index_12	Proton_Index_13	Proton_Index_14	Proton_Index_15	Proton_Index_16	Proton_Index_17	Proton_Index_18	Proton_Index_19	Proton_Index_20	Proton_Index_21	Proton_Index_22	Divide_Ratio	He_Sample_Counts_1	He_Sample_Counts_2	He_Sample_Counts_3	He_Sample_Counts_4	He_Sample_Counts_5	He_Sample_Counts_6	He_Sample_Counts_7	He_Sample_Counts_8	He_Sample_Counts_9	He_Sample_Counts_10	He_Sample_Counts_11	He_Sample_Counts_12	He_Sample_Counts_13	He_Sample_Counts_14	He_Sample_Counts_15	He_Sample_Counts_16	Electron_Sample_Counts_1	Electron_Sample_Counts_2	Electron_Sample_Counts_3	Electron_Sample_Counts_4	Electron_Sample_Counts_5	Electron_Sample_Counts_6	Electron_Sample_Counts_7	Electron_Sample_Counts_8	Electron_Sample_Counts_9	Electron_Sample_Counts_10	Electron_Sample_Counts_11	Electron_Sample_Counts_12	Electron_Sample_Counts_13	Electron_Sample_Counts_14	Electron_Sample_Counts_15	Electron_Sample_Counts_16	Proton_Sample_Counts_1	Proton_Sample_Counts_2	Proton_Sample_Counts_3	Proton_Sample_Counts_4	Proton_Sample_Counts_5	Proton_Sample_Counts_6	Proton_Sample_Counts_7	Proton_Sample_Counts_8	Proton_Sample_Counts_9	Proton_Sample_Counts_10	Proton_Sample_Counts_11	Proton_Sample_Counts_12	Proton_Sample_Counts_13	Proton_Sample_Counts_14	Proton_Sample_Counts_15	Proton_Sample_Counts_16	He_Flux_1	He_Flux_2	He_Flux_3	He_Flux_4	He_Flux_5	He_Flux_6	He_Flux_7	He_Flux_8	He_Flux_9	He_Flux_10	He_Flux_11	He_Flux_12	He_Flux_13	He_Flux_14	He_Flux_15	He_Flux_16	Electron_Flux_1	Electron_Flux_2	Electron_Flux_3	Electron_Flux_4	Electron_Flux_5	Electron_Flux_6	Electron_Flux_7	Electron_Flux_8	Electron_Flux_9	Electron_Flux_10	Electron_Flux_11	Electron_Flux_12	Electron_Flux_13	Electron_Flux_14	Electron_Flux_15	Electron_Flux_16	Proton_Flux_1	Proton_Flux_2	Proton_Flux_3	Proton_Flux_4	Proton_Flux_5	Proton_Flux_6	Proton_Flux_7	Proton_Flux_8	Proton_Flux_9	Proton_Flux_10	Proton_Flux_11	Proton_Flux_12	Proton_Flux_13	Proton_Flux_14	Proton_Flux_15	Proton_Flux_16	Sample_Ratio
1596366753.049	1596395553.049	NaN	NaN	NaN	101964244.125966	-104893256.680449	-44853465.448552	66907907.7222191	62072303.4431306	5460905.15921936	0.640629	-0.014738	0.76773	104.994	90.004	1.828	0	0	0	1.463	2.22	0.18	275.598	0.126	618.676	5.084	0	0	0	0	0.072	0	0	0	0	0	0	0.299	0.255	0.208	0.241	0.222	0.237	0.246	0.107	0.259	0	0.241	0.23	0.237	0.261	0.259	0.255	0.23	0.263	0.237	0.23	0.235	0	0.078	0.1	0.113	0.062	0.092	0.062	0.064	0.964	0.058	0	0.079	0.095	0.102	0.102	0.096	0.103	0.072	0.1	0.096	0.506	0.209	0	2.205	0.355	0.321	0.303	1.777	2.519	0.49	276.669	0.443	618.676	5.404	0.325	0.339	0.363	0.355	0.43	0.302	0.363	0.333	0.736	0.444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	9	1	1	0	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	282.603059372569	427.786499215071	32.2389825495416	24.0077529624246	0	0	7.47907232057088	9.24230090896758	0	0	0.705841518504704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.5714285714286
1596366757.049	1596395557.049	NaN	NaN	NaN	101964345.421776	-104893182.652971	-44853430.723521	66907880.8293497	62072258.9566167	5460908.34301964	0.640629	-0.014738	0.76773	104.994	90.004	4.908	0	0	2.544	0	43.966	0	0	0	0	0	0.261	1187.21	0	0	18.553	0	0.842	0	6.597	0	0	0.232	0.257	0.23	0.226	0.239	0.213	0.221	0.25	0.235	0.235	0.226	0.23	0	0.243	0.261	0.217	0.241	0.217	0.261	0.228	0.248	0	0.139	0.075	0.236	0.085	0.078	0.202	0.452	0.089	0.078	1.264	0.237	0.303	0	0.09	0.114	0.154	0.06	0.301	0.074	0.263	0.06	0	5.279	0.332	0.466	2.855	0.317	44.381	0.673	0.339	0.313	1.499	0.463	0.794	1187.21	0.333	0.375	18.924	0.301	1.36	0.335	7.088	0.308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	5	2	2	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118.399446893095	99.5697424268853	27.0137040323376	20.1165881091876	0	4.68260804178117	0	0	0.992546483052812	0	0.295719535275671	0.196678007953257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.52380952380952
1596366761.049	1596395561.049	NaN	NaN	NaN	101964446.715292	-104893108.626962	-44853395.999185	66907853.9378245	62072214.4725707	5460911.52674435	0.640629	-0.014738	0.76773	104.994	90.004	0	504.395	116.095	0	17.743	0	22.795	0	0.436	31.685	0	101.964	0	23.741	0	0	6.083	0	0	0.072	0	0	0.244	0	0.197	0.255	0.237	0.248	0.226	0.257	0.233	0.222	0.235	0.206	0.263	0.224	0.239	0.222	0.233	0.261	0.239	0.23	0.222	0	0.09	0.222	0.25	0.073	0.392	0.068	0.053	0.1	0.063	0.589	0.071	0.954	0.083	0.17	0.062	0.197	0.762	0.099	0.067	0.167	0.22	0	0.334	504.617	116.542	0.328	18.372	0.316	23.074	0.357	0.732	32.496	0.306	103.124	0.346	24.135	0.301	0.419	7.078	0.36	0.306	0.469	0.442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	6	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75.6200846944948	61.050061050061	6.90131124913734	5.13927433446397	0	0	0	0	0	0	0	0.100492412822832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.33333333333333
1596366765.048	1596395565.048	NaN	NaN	NaN	101964547.986456	-104893034.617284	-44853361.282427	66907827.0512407	62072169.9962466	5460914.70984162	0.640629	-0.014738	0.76773	104.994	90.004	166.18	0.072	0	0	0	0	0	0	0	0	0	0	0	187.32	0	0	0	0	0	0	0	0	0	0.272	0.266	0.246	0.252	0.244	0.321	0.222	0.239	0.25	0.226	0.252	0.241	0.268	0.261	0	0	0	0	0	0	0	0.884	0.108	0.083	0.065	0.1	0.074	0.085	0.105	0.102	0.08	0.08	0.083	0.056	0.188	0.087	0	0	0	0	0	0	0	167.064	0.452	0.349	0.311	0.352	0.318	0.406	0.327	0.341	0.33	0.306	0.335	0.297	187.776	0.348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110.405323653962	89.1330891330891	10.0759144237405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.86666666666667
1596366769.048	1596395569.048	NaN	NaN	NaN	101964649.280839	-104892960.590385	-44853326.557665	66907800.159176	62072125.5110329	5460917.89360372	0.640629	-0.014738	0.76773	104.994	90.004	0	0	0	0	0	0	0	0	0	0	0.153	0	0.18	0	0	0	0	0.261	0	0	0	0	0.343	0.272	0.461	0.235	0.252	0.233	0.257	0.235	0.23	0.27	0.25	0.244	0.272	0.235	0.239	0.263	0.235	0.261	0.235	0	0	0	0.11	0.08	0.056	0.106	0.112	0.056	0.082	0.088	0.103	0.1	0.113	0.065	0.095	0.133	0.066	0.084	0.1	0.11	0.069	0	0	0	0.453	0.352	0.517	0.341	0.364	0.289	0.339	0.323	0.333	0.37	0.516	0.309	0.547	0.368	0.305	0.347	0.335	0.632	0.304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	9	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139.698156461935	169.172932330827	50.9970578620464	9.49413311261502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.15789473684211
1596367757.021	1596396557.021	NaN	NaN	NaN	101989666.593586	-104874674.454056	-44844748.923091	66901158.0730687	62061138.0381653	5461704.1632231	0.640629	-0.014738	0.76773	105.006	90.002	0	0	0	0.204	0	0	0	0	2.568	7.932	0	0	0	0	0	0	0	0	0	0	0	0	0.24	0.229	0.24	0.256	0.39	0.242	0.251	0.242	0.361	0.172	0.28	0.251	0.225	0.258	0.238	0.427	0.311	0.271	0.238	0.229	0.251	0	0.112	0.088	0.2	0.081	0.102	0.073	0.094	0.079	0.1	0.052	0.087	0.06	0.24	0.081	0.057	0.09	0.096	0.112	0.082	0.123	0.098	0	0.352	0.317	0.44	0.541	0.492	0.315	0.345	0.321	3.029	8.156	0.367	0.311	0.465	0.339	0.295	0.517	0.407	0.383	0.32	0.352	0.349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	9	4	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	217.785843920145	219.78021978022	66.2525879917184	0	0	0	0	0	1.21713729308666	0	0	0.241181790774796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
1596367761.021	1596396561.021	NaN	NaN	NaN	101989767.872833	-104874600.411874	-44844714.191801	66901131.1823389	62061093.55491	5461707.34617063	0.640629	-0.014738	0.76773	105.006	90.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.539	0	0	0.245	0.229	0.245	0.231	0.256	0.229	0.242	0.234	0.209	0.249	0.225	0.227	0.247	0.231	0.234	0.238	0.245	0.236	0.249	0.157	0	0	0.078	0.06	0.072	0.051	0.07	0.082	0.069	0.073	0.207	0.071	0.113	0.097	0.089	0.069	0.06	0.086	0.068	0.092	0.068	0.18	0	0	0.323	0.289	0.317	0.282	0.326	0.311	0.311	0.307	0.416	0.32	0.338	0.324	0.336	0.3	0.294	0.324	0.313	0.328	0.317	11.876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	333.938294010889	42.1245421245421	0	0	0	0	0	0	0	0	0	0	0.0917065390749601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.6
1596367765.02	1596396565.02	NaN	NaN	NaN	101989869.127776	-104874526.387383	-44844679.468865	66901104.2976895	62061049.0815966	5461710.52830453	0.640629	-0.014738	0.76773	105.006	90.002	0	0	0.136	0	0	0	0.15	0.123	0	0	0	0	0	0	0	0.798	0	0	0	0	0	0	0.24	0.249	0.22	0.231	0.267	0.225	0.212	0.256	0.432	0.229	0.249	0.251	0.227	0.258	0.238	0.203	0.278	0.236	0.256	0.223	0.214	0	0.06	0.117	0.179	0.066	0.103	0.056	0.366	0.097	0.064	0.068	0.099	0.112	0.065	0.09	0.066	0.236	0.089	0.064	0.104	0.057	0.165	0	0.3	0.366	0.535	0.297	0.37	0.281	0.728	0.476	0.496	0.297	0.348	0.363	0.292	0.348	0.304	1.237	0.367	0.3	0.36	0.28	0.379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	8	3	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	171.1174487944	115.122972265829	29.2812777284827	7.26840227302762	0	3.3837824535499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.71428571428571
1596367769.02	1596396569.02	NaN	NaN	NaN	101989970.407894	-104874452.344264	-44844644.73721	66901077.4064218	62061004.5971554	5461713.7112145	0.640629	-0.014738	0.76773	105.006	90.002	0	0	0	0	0	0	0	0	0	8.31	0	1.163	0	0	0	0	0	0	0.015	0	0	0	0.242	0.229	0.225	0.258	0.227	0.245	0.236	0.207	0.258	0.181	0.251	0.218	0.218	0.225	0.256	0.238	0.26	0.227	0.242	0.229	0	0	0.109	0.052	0.247	0.106	0.05	0.097	0.05	0.188	0.088	0.124	0.104	0.128	0.082	0.05	0.091	0.053	0.094	0.213	0.087	0.188	0	0	0.351	0.281	0.472	0.364	0.277	0.342	0.286	0.395	0.346	8.615	0.355	1.509	0.3	0.275	0.347	0.291	0.354	0.44	0.344	0.417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	11	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70.0998185117967	172.924297924298	10.6625258799172	0	0	0	2.47358309317964	0	0	0	0	0.155260777811275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.15
1596367773.02	1596396573.02	NaN	NaN	NaN	101990071.687103	-104874378.301764	-44844610.005725	66901050.5156467	62060960.1137103	5461716.89420568	0.640629	-0.014738	0.76773	105.006	90.002	0	0	0	0	0	0	3.122	0	0	0	0	0	0	0	0	0	0	0	11.539	0	0	0	0.251	0.225	0.236	0.236	0.229	0.416	0.201	0.258	0.231	0.209	0.234	0.242	0.247	0.229	0.264	0.238	0.427	0.253	0.183	0.229	0	0	0.067	0.339	0.087	0.062	0.097	0.088	0.26	0.069	0.08	2.136	0.082	0.075	0.111	0.058	0.09	0.057	0.069	0.076	0.151	0.068	0	0	0.318	0.564	0.323	0.298	0.326	0.504	3.583	0.327	0.311	2.345	0.316	0.317	0.358	0.287	0.354	0.295	0.496	0.329	11.873	0.297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	2	3	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	294.010889292196	32.967032967033	33.5403726708075	0	0	0	0	0	0.821567672833496	0	0	0	0.107655502392345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.4
