Time	Epoch_Time	Longitude	Latitude	Altitude	X_J2000	Y_J2000	Z_J2000	X_MSO	Y_MSO	Z_MSO	Instrument_Observation_Direction_X	Instrument_Observation_Direction_Y	Instrument_Observation_Direction_Z	Solar_Incident_Angle	Solar_Azimuth_Angle	Energy_CSI_1	Energy_CSI_2	Energy_CSI_3	Energy_CSI_4	Energy_CSI_5	Energy_CSI_6	Energy_CSI_7	Energy_CSI_8	Energy_CSI_9	Energy_CSI_10	Energy_CSI_11	Energy_CSI_12	Energy_CSI_13	Energy_CSI_14	Energy_CSI_15	Energy_CSI_16	Energy_CSI_17	Energy_CSI_18	Energy_CSI_19	Energy_CSI_20	Energy_CSI_21	Energy_CSI_22	Energy_SD1_1	Energy_SD1_2	Energy_SD1_3	Energy_SD1_4	Energy_SD1_5	Energy_SD1_6	Energy_SD1_7	Energy_SD1_8	Energy_SD1_9	Energy_SD1_10	Energy_SD1_11	Energy_SD1_12	Energy_SD1_13	Energy_SD1_14	Energy_SD1_15	Energy_SD1_16	Energy_SD1_17	Energy_SD1_18	Energy_SD1_19	Energy_SD1_20	Energy_SD1_21	Energy_SD1_22	Energy_SD2_1	Energy_SD2_2	Energy_SD2_3	Energy_SD2_4	Energy_SD2_5	Energy_SD2_6	Energy_SD2_7	Energy_SD2_8	Energy_SD2_9	Energy_SD2_10	Energy_SD2_11	Energy_SD2_12	Energy_SD2_13	Energy_SD2_14	Energy_SD2_15	Energy_SD2_16	Energy_SD2_17	Energy_SD2_18	Energy_SD2_19	Energy_SD2_20	Energy_SD2_21	Energy_SD2_22	Energy_Total_1	Energy_Total_2	Energy_Total_3	Energy_Total_4	Energy_Total_5	Energy_Total_6	Energy_Total_7	Energy_Total_8	Energy_Total_9	Energy_Total_10	Energy_Total_11	Energy_Total_12	Energy_Total_13	Energy_Total_14	Energy_Total_15	Energy_Total_16	Energy_Total_17	Energy_Total_18	Energy_Total_19	Energy_Total_20	Energy_Total_21	Energy_Total_22	He_Index_1	He_Index_2	He_Index_3	He_Index_4	He_Index_5	He_Index_6	He_Index_7	He_Index_8	He_Index_9	He_Index_10	He_Index_11	He_Index_12	He_Index_13	He_Index_14	He_Index_15	He_Index_16	He_Index_17	He_Index_18	He_Index_19	He_Index_20	He_Index_21	He_Index_22	Electron_Index_1	Electron_Index_2	Electron_Index_3	Electron_Index_4	Electron_Index_5	Electron_Index_6	Electron_Index_7	Electron_Index_8	Electron_Index_9	Electron_Index_10	Electron_Index_11	Electron_Index_12	Electron_Index_13	Electron_Index_14	Electron_Index_15	Electron_Index_16	Electron_Index_17	Electron_Index_18	Electron_Index_19	Electron_Index_20	Electron_Index_21	Electron_Index_22	Proton_Index_1	Proton_Index_2	Proton_Index_3	Proton_Index_4	Proton_Index_5	Proton_Index_6	Proton_Index_7	Proton_Index_8	Proton_Index_9	Proton_Index_10	Proton_Index_11	Proton_Index_12	Proton_Index_13	Proton_Index_14	Proton_Index_15	Proton_Index_16	Proton_Index_17	Proton_Index_18	Proton_Index_19	Proton_Index_20	Proton_Index_21	Proton_Index_22	Divide_Ratio	He_Sample_Counts_1	He_Sample_Counts_2	He_Sample_Counts_3	He_Sample_Counts_4	He_Sample_Counts_5	He_Sample_Counts_6	He_Sample_Counts_7	He_Sample_Counts_8	He_Sample_Counts_9	He_Sample_Counts_10	He_Sample_Counts_11	He_Sample_Counts_12	He_Sample_Counts_13	He_Sample_Counts_14	He_Sample_Counts_15	He_Sample_Counts_16	Electron_Sample_Counts_1	Electron_Sample_Counts_2	Electron_Sample_Counts_3	Electron_Sample_Counts_4	Electron_Sample_Counts_5	Electron_Sample_Counts_6	Electron_Sample_Counts_7	Electron_Sample_Counts_8	Electron_Sample_Counts_9	Electron_Sample_Counts_10	Electron_Sample_Counts_11	Electron_Sample_Counts_12	Electron_Sample_Counts_13	Electron_Sample_Counts_14	Electron_Sample_Counts_15	Electron_Sample_Counts_16	Proton_Sample_Counts_1	Proton_Sample_Counts_2	Proton_Sample_Counts_3	Proton_Sample_Counts_4	Proton_Sample_Counts_5	Proton_Sample_Counts_6	Proton_Sample_Counts_7	Proton_Sample_Counts_8	Proton_Sample_Counts_9	Proton_Sample_Counts_10	Proton_Sample_Counts_11	Proton_Sample_Counts_12	Proton_Sample_Counts_13	Proton_Sample_Counts_14	Proton_Sample_Counts_15	Proton_Sample_Counts_16	He_Flux_1	He_Flux_2	He_Flux_3	He_Flux_4	He_Flux_5	He_Flux_6	He_Flux_7	He_Flux_8	He_Flux_9	He_Flux_10	He_Flux_11	He_Flux_12	He_Flux_13	He_Flux_14	He_Flux_15	He_Flux_16	Electron_Flux_1	Electron_Flux_2	Electron_Flux_3	Electron_Flux_4	Electron_Flux_5	Electron_Flux_6	Electron_Flux_7	Electron_Flux_8	Electron_Flux_9	Electron_Flux_10	Electron_Flux_11	Electron_Flux_12	Electron_Flux_13	Electron_Flux_14	Electron_Flux_15	Electron_Flux_16	Proton_Flux_1	Proton_Flux_2	Proton_Flux_3	Proton_Flux_4	Proton_Flux_5	Proton_Flux_6	Proton_Flux_7	Proton_Flux_8	Proton_Flux_9	Proton_Flux_10	Proton_Flux_11	Proton_Flux_12	Proton_Flux_13	Proton_Flux_14	Proton_Flux_15	Proton_Flux_16	Sample_Ratio
1647715678.205	1647744478.205	-24.998025	-5.524698	10706.022008	31893688.151625	-193123057.140986	-89448438.070331	-10652.8494253659	-7097.80616597062	-5919.05864272798	0.13538	-0.974094	0.180698	179.271	268.735	24.223	0	0	0	0	0	8.754	0	51.662	49.203	0	0	27.79	104.959	0	0	24.858	0	0	7.944	0	0	0.188	0.239	0.241	0.226	0.239	0.234	0.21	0.23	0.16	0.155	0.212	0.21	0.131	0.087	0.219	0.254	0.162	0.223	0.234	0.212	0.239	0	0.059	0.071	0.062	0.871	0.055	0.073	0.082	1.321	0.446	0.323	0.193	1.112	0.351	0.333	0.053	0.082	0.248	0.651	0.061	0.089	0.086	0	24.47	0.31	0.303	1.097	0.294	0.307	9.046	1.551	52.268	49.681	0.405	1.322	28.272	105.379	0.272	0.336	25.268	0.874	0.295	8.245	0.325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	1	1	0	1	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	2	0	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98.3061101028433	18.896447467876	0	0	6.48217402144104	0	0	0	0	0	0	0.0933143833354867	0.0617072985494038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.0952380952381
1647715682.205	1647744482.205	-25.013103	-5.542815	10706.466516	31893785.831795	-193123033.49199	-89448434.408953	-10652.235464141	-7096.16072811882	-5923.19343823321	0.13538	-0.974094	0.180698	179.271	268.749	6.714	0	6.214	56.917	0	35.842	0	0	24.71	26.574	0	0	23.318	0	0	22.035	0	0	3.958	0	48.082	0	0.212	0.23	0.219	0.457	0.184	0.151	0.248	0.212	0.171	0.171	0.245	0.223	0.164	0.252	0.23	0.393	0.243	0.21	0.208	0.228	0.188	0	0.218	0.07	0.105	0.06	0.299	0.244	0.077	1.252	0.168	0.106	0.072	0.309	0.062	0.068	0.054	0.08	0.054	0.201	0.076	0.067	0.523	0	7.144	0.3	6.538	57.434	0.483	36.237	0.325	1.464	25.049	26.851	0.317	0.532	23.544	0.32	0.284	22.508	0.297	0.411	4.242	0.295	48.793	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	1	2	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110.405323653962	10.6110820396535	14.3941634624864	0	0	0	0	0	0	0.264937387673806	0.157573183030102	0.104799230515239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.47619047619048
1647715686.205	1647744486.205	-25.028182	-5.560931	10706.908914	31893883.51087	-193123009.841348	-89448430.745001	-10651.6188380219	-7094.51454897439	-5927.32660772596	0.13538	-0.974094	0.180698	179.271	268.763	0	0	0	22.535	0	4.026	0	0.392	3.283	0	0	35.153	0	17.009	32.829	0	0	0	0.716	0	0	0	0.243	0.217	0.217	0.195	0.228	0.223	0.228	0.212	0.426	0.226	0.212	0.157	0.263	0.204	0.432	0.23	0.228	0.239	0.21	0.223	0.226	0	0.055	0.523	0.249	0.075	0.051	0.184	0.066	0.108	0.089	0.067	2.104	0.131	0.06	0.208	0.058	0.299	0.539	0.076	0.951	0.175	0.206	0	0.298	0.74	0.466	22.805	0.279	4.433	0.294	0.712	3.798	0.293	2.316	35.441	0.323	17.421	33.319	0.529	0.767	0.315	1.877	0.398	0.432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2	2	3	0	0	1	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107.596577651024	24.1293098435956	16.3659666765257	18.2811329897361	0	0	1.89835780613879	0	0	0.602460361011669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.95238095238095
1647715690.205	1647744490.205	-25.04326	-5.579046	10707.349306	31893981.186902	-193122986.189286	-89448427.078858	-10650.9996204698	-7092.86565468561	-5931.45845275075	0.13538	-0.974094	0.180698	179.271	268.777	24.602	0	28.209	0	0	0	0	0	33.626	0	0	16.536	0	10.105	0	0.108	21.143	0	5.85	0	0	0	0.164	0.206	0.173	0.223	0.25	0.208	0.23	0.241	0.153	0.241	0.223	0.184	0.221	0.201	0.226	0.217	0.424	0.239	0.208	0.215	0.248	0	0.066	0.06	0.092	0.06	0.078	0.286	0.233	0.069	0.139	0.067	0.057	0.328	0.08	0.228	0.057	0.28	0.076	0.056	0.061	0.121	0.057	0	24.832	0.266	28.474	0.283	0.328	0.494	0.463	0.31	33.918	0.308	0.28	17.048	0.301	10.534	0.283	0.605	21.643	0.295	6.119	0.336	0.305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	1	2	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166.364186327889	11.1925111925112	15.1828847481021	5.65320176791037	0	0	0	0	0	0	0.16620733004545	0	0.0730994152046784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.66666666666667
1647715694.205	1647744494.205	-25.058339	-5.597159	10707.78766	31894078.861849	-193122962.535546	-89448423.410257	-10650.3777590258	-7091.21602901405	-5935.58879020396	0.13538	-0.974094	0.180698	179.271	268.791	17.82	5.228	25.939	0	0	88.572	0	0	0	0	43.705	21.711	0	0	0	5.782	0	0	0	0.013	0	0	0.179	0.208	0.16	0.239	0.23	0.094	0.228	0.206	0.221	0.245	0.1	0.173	0.239	0.21	0.239	0.188	0.241	0.223	0.232	0.228	0.241	0	0.074	0.685	0.07	0.06	0.054	0.084	0.317	0.972	0.092	0.067	0.088	0.078	0.056	0.287	0.067	0.134	0.055	0.196	0.051	0.305	0.063	0	18.073	6.121	26.169	0.299	0.284	88.75	0.545	1.178	0.313	0.312	43.893	21.962	0.295	0.497	0.306	6.104	0.296	0.419	0.283	0.546	0.304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	1	3	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147.783251231527	11.0471539042968	22.4785566400473	0	0	2.59765117646255	0	0	0	0	0.328097586583226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.61904761904762
1647715698.204	1647744498.204	-25.073413	-5.615267	10708.223861	31894176.509138	-193122938.886441	-89448419.740315	-10649.753531497	-7089.56388993472	-5939.71665545266	0.135382	-0.97423	0.180793	180	300.446	36.22	0	0	0	46.731	23.588	19.117	0	26.074	3.796	0	0	0	0	0	0	0	0	21.873	0	0	0	0.102	0.223	0.237	0.217	0.157	0.171	0.199	0.243	0.173	0.199	0.245	0.223	0.232	0.23	0.226	0.226	0.23	0.221	0.179	0.234	0	0	0.277	0.21	0.078	0.461	0.383	0.098	2.036	0.063	0.168	0.133	0.058	0.128	0.06	0.064	0.067	0.503	0.058	0.13	0.119	0.053	0	0	36.599	0.433	0.315	0.678	47.271	23.857	21.352	0.306	26.415	4.128	0.303	0.351	0.292	0.294	0.293	0.729	0.288	0.351	22.171	0.287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	3	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139.745916515426	35.2564102564103	0	11.8717237126118	0	0	0	0	0	0.293427230046948	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.85
1647715702.204	1647744502.204	-25.088492	-5.633379	10708.658207	31894274.179981	-193122915.229667	-89448416.06706	-10649.1264936055	-7087.91083241152	-5943.84412911301	0.13538	-0.974094	0.180698	179.271	268.818	0	0	30.019	0	0	0	75.007	0	0	0	29.79	8.025	0	0	0	0	0	0	13.686	0	22.413	0	0.237	0.239	0.173	0.228	0.212	0.226	0.419	0.234	0.21	0.239	0.164	0.208	0.259	0.232	0.221	0.23	0.237	0.228	0.193	0.234	0.177	0	0.067	0.098	0.227	0.25	0.25	0.45	0.063	0.055	0.068	0.079	0.074	0.113	0.06	0.056	0.067	0.072	0.111	0.057	0.237	0.056	0.073	0	0.304	0.337	30.419	0.478	0.462	0.676	75.489	0.289	0.278	0.318	30.028	8.346	0.319	0.288	0.288	0.302	0.348	0.285	14.116	0.29	22.663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	2	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168.524760176303	22.6757369614512	15.3800650695061	5.72661997268843	0	0	0	0	0	0	0	0.111977260002584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.71428571428571
1647715706.204	1647744506.204	-25.10357	-5.651489	10709.090502	31894371.848689	-193122891.571282	-89448412.39154	-10648.4967965988	-7086.25598805632	-5947.97026844946	0.13538	-0.974094	0.180698	179.271	268.832	0	0	0	0	0	0	0	0	0	0	21.859	0	0	0	0	34.288	0	0	0	13.145	0	0	0.232	0.232	0.219	0.228	0.21	0.228	0.221	0.234	0.217	0.217	0.182	0.215	0.254	0.23	0.217	0.16	0.219	0.206	0.223	0.193	0.243	0	0.076	0.056	0.637	0.08	0.458	0.061	0.251	0.053	0.467	0.705	0.091	0.233	0.066	0.281	0.13	1.801	0.063	0.848	0.066	0.353	0.068	0	0.308	0.288	0.856	0.308	0.668	0.289	0.472	0.287	0.684	0.922	22.132	0.448	0.32	0.511	0.347	36.249	0.282	1.054	0.289	13.691	0.311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	2	2	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140.005185377236	20.9314495028781	14.1969831410825	10.5722214880402	10.7703814510097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.42857142857143
1647715710.205	1647744510.205	-25.118653	-5.669603	10709.520826	31894469.538903	-193122867.905786	-89448408.712641	-10647.8644591063	-7084.59812231859	-5952.09577386258	0.13538	-0.974094	0.180698	179.271	268.845	5.404	22.102	0	34.477	0	0	5.282	0	0	0	22.305	0	0	0	47.636	22.183	0	0.5	20.508	3.756	0	0	0.204	0.195	0.228	0.171	0.221	0.23	0.215	0.221	0.239	0.223	0.184	0.23	0.232	0.212	0.157	0.195	0.241	0.175	0.177	0.21	0.237	0	0.113	0.191	0.055	0.124	0.598	0.055	0.593	0.051	0.083	0.098	0.059	0.069	0.071	0.589	0.322	0.059	0.059	0.057	0.153	0.078	0.068	0	5.721	22.488	0.283	34.772	0.819	0.285	6.09	0.272	0.322	0.321	22.548	0.299	0.303	0.801	48.115	22.437	0.3	0.732	20.838	4.044	0.305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	2	1	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153.616800622245	0	0	11.600076354933	3.93916728995263	0	0	0	0	0.286713063373023	0.341048807106248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.76190476190476
1647715714.205	1647744514.205	-25.133731	-5.687711	10709.948996	31894567.202529	-193122844.244611	-89448405.032328	-10647.2296019264	-7082.93884941211	-5956.21884534783	0.13538	-0.974094	0.180698	179.271	268.858	0	0	0	0	0	2.31	0	0	42.827	28.655	40.192	0	22.656	0	0	0	0	0	28.087	30.951	0	0	0.232	0.204	0.223	0.23	0.237	0.188	0.243	0.195	0.162	0.186	0.149	0.228	0.168	0.243	0.243	0.23	0.23	0.217	0.173	0.162	0.243	0	0.066	0.753	0.063	0.065	0.052	0.142	0.063	0.107	0.142	0.065	0.196	0.371	0.059	0.059	0.052	0.073	0.052	2.137	0.25	0.441	0.06	0	0.298	0.957	0.286	0.295	0.289	2.64	0.306	0.302	43.131	28.906	40.537	0.599	22.883	0.302	0.295	0.303	0.282	2.354	28.51	31.554	0.303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154.481030161611	0	6.40836044562753	0	3.24108701072052	0	0	0.918577307466196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.0952380952381
